user_id,first_session_hour,first_session_day_of_week,first_session_weekend,first_session_holiday,first_session_is_sports,first_session_account_age,first_session_user_age,first_session_bonus_used,first_session_bet_amount,first_session_win_amount,first_session_net_result,first_session_won,first_session_length,first_session_games_played,first_session_deposited,first_session_deposit_amount,first_session_withdrew,total_sessions,total_time_played,avg_session_length,std_session_length,max_session_length,min_session_length,total_games_played,avg_games_per_session,std_games_per_session,max_games_per_session,avg_session_gap_hours,std_session_gap_hours,max_session_gap_hours,min_session_gap_hours,preferred_hour,preferred_day,weekend_ratio,holiday_ratio,game_type_diversity,device_diversity,total_bonuses_used,bonus_usage_rate,active_days,sessions_per_day,total_bet_amount,avg_bet_amount,std_bet_amount,max_bet_amount,min_bet_amount,total_win_amount,avg_win_amount,max_win_amount,total_net_result,avg_net_result,std_net_result,max_net_result,min_net_result,total_deposits,deposit_count,avg_deposit_amount,total_withdrawals,withdrawal_count,lifetime_deposits,lifetime_bets,lifetime_avg_bet_size,net_deposits,win_rate,return_on_bets,deposit_to_bet_ratio,winning_session_rate,mobile_ratio,night_owl_ratio,sports_betting_ratio,uses_crypto,payment_method_diversity,campaign_diversity,bet_amount_trend,session_length_trend,games_played_trend,bet_amount_decay,session_length_decay,session_gap_trend,target,first_session_vip_tier_encoded,first_session_device_mobile,first_session_device_tablet,first_session_game_type_casino_slots,first_session_game_type_live_dealer,first_session_game_type_poker,first_session_game_type_roulette,first_session_game_type_sports_betting,first_session_game_type_unknown,first_session_campaign_free_spins,first_session_campaign_none,first_session_campaign_reload_bonus,first_session_campaign_welcome_bonus,primary_device_mobile,primary_device_tablet,favorite_game_type_casino_slots,favorite_game_type_live_dealer,favorite_game_type_poker,favorite_game_type_roulette,favorite_game_type_sports_betting,favorite_game_type_unknown,first_session_country_encoded,first_session_payment_method_encoded,primary_payment_method_encoded,first_session_hour_sin,first_session_hour_cos,preferred_hour_sin,preferred_hour_cos,first_session_dow_sin,first_session_dow_cos,preferred_day_sin,preferred_day_cos
user_000002,16,1,0,1,0,17,43.0,0,6731.21,12678.31,5947.1,1,144,48,1,3802.83,0,7,1289,184.14285714285714,86.37983671248858,373,121,427,61.0,28.792360097775937,124,-0.16666666666666666,0.408248290463863,0.0,-1.0,0,3,0.0,0.2857142857142857,4,3,2,0.2857142857142857,3,2.3333333333333335,67308.72,9615.531428571428,17594.989647007875,49259.73,1112.86,15032.59,2147.5128571428572,12678.31,-52276.13,-7468.018571428571,18729.092536955646,5947.1,-49259.73,28103.51,6,4014.7871428571425,0.0,0,28103.51,366,10639.79,28103.51,0.22333792709176464,-0.7766620729082353,0.41753148774779847,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,1,4,1561.3103571428571,-6.750000000000001,-2.2857142857142856,4.632102708880625,0.7081447963800905,-0.08571428571428572,1,3,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,0.6666666666666666,0.705685618729097,0.7190635451505016,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0.7818314824680298,0.6234898018587336,0.43388373911755823,-0.900968867902419
user_000003,19,3,0,0,0,3,52.0,1,11278.64,0.0,-11278.64,0,240,80,1,5584.4,0,12,2193,182.75,83.12654646545066,284,17,726,60.5,27.655346351441377,94,0.0,0.0,0.0,0.0,11,6,0.3333333333333333,0.25,3,2,4,0.3333333333333333,18,0.6666666666666666,1042709.8400000001,86892.48666666668,179305.96152087534,620372.81,378.02,110889.4,9240.783333333333,72023.28,-931820.4400000001,-77651.70333333334,184090.2160725552,43077.75,-620372.81,83210.81999999999,9,6934.235,3376.96,1,83210.82,726,86892.49,79833.85999999999,0.10634732285637583,-0.8936526771436242,0.07980246930440398,0.3333333333333333,0.0,0.5833333333333334,0.25,0,2,4,13367.342517482517,3.744755244755245,1.237762237762238,7.888903816779316,1.2963350785340315,0.0,1,3,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,0.7183098591549296,0.705685618729097,0.7190635451505016,-0.9659258262890684,0.2588190451025203,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334
user_000004,22,4,0,0,0,6,63.0,0,279.05,465.14,186.09,1,222,74,1,2565.21,0,11,1587,144.27272727272728,78.86075184664537,298,41,525,47.72727272727273,26.348020453502418,99,0.0,0.0,0.0,0.0,3,4,0.2727272727272727,0.0,3,3,2,0.18181818181818182,12,0.9166666666666666,177618.30000000002,16147.118181818183,22702.686436538217,74159.19,279.05,215790.06,19617.278181818183,177395.74,38171.76000000001,3470.1600000000008,36364.346457007865,103236.55,-38329.6,64918.43,10,5901.675454545454,4548.4,1,64918.43,525,16147.12,60370.03,1.2149089367480714,0.2149089367480716,0.36549403974703054,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.2727272727272727,0,2,4,187.7126363636361,6.345454545454546,2.072727272727273,0.8448431529611754,1.3031771674744212,0.0,1,3,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,0.7414965986394558,0.705685618729097,0.7190635451505016,-0.5000000000000004,0.8660254037844384,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.433883739117558,-0.9009688679024191
user_000005,20,6,1,0,0,29,42.0,0,15451.79,0.0,-15451.79,0,376,125,0,0.0,0,8,2005,250.625,170.3114269297781,576,62,666,83.25,56.965528423524944,192,0.0,0.0,0.0,0.0,15,3,0.125,0.0,3,3,0,0.0,6,1.3333333333333333,36602.770000000004,4575.3462500000005,5173.257801410573,15451.79,268.86,6438.79,804.84875,4619.09,-30163.98,-3770.4975,5936.924330516481,2809.7,-15451.79,53180.11,7,6647.51375,0.0,0,53180.11,666,4971.68,53180.11,0.17590991064337477,-0.8240900893566251,1.4528985101400793,0.25,0.5,0.375,0.5,0,2,5,-487.23249999999996,-4.059523809523809,-1.3571428571428572,0.9704291119097503,1.3422897196261683,0.0,1,1,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.6666666666666666,0.6655518394648829,0.6677740863787376,-0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.43388373911755823,-0.900968867902419
user_000006,3,3,0,0,0,13,42.0,0,387.12,660.91,273.79,1,311,103,1,1852.56,1,6,882,147.0,98.60831607932467,311,53,292,48.666666666666664,32.794308449282276,103,-0.2,0.447213595499958,0.0,-1.0,3,6,0.6666666666666666,0.16666666666666666,3,3,2,0.3333333333333333,4,1.5,276841.89999999997,46140.31666666666,100417.65155973777,250608.58,387.12,34721.2,5786.866666666666,28690.53,-242120.69999999998,-40353.45,103103.08999372521,9600.49,-250608.58,52883.48,5,8813.913333333334,2606.52,1,52883.48,292,46140.32,50276.96000000001,0.125418876261144,-0.8745811237388561,0.19102411882016418,0.6666666666666666,0.16666666666666666,0.5,0.3333333333333333,0,2,4,21505.25314285714,-35.08571428571429,-11.6,12.756741298612756,0.6768060836501901,0.1,1,2,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,0.6666666666666666,0.6862068965517242,0.6764705882352942,0.7071067811865475,0.7071067811865476,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334
user_000007,12,0,0,0,0,15,63.0,0,158.41,461.67,303.26,1,315,105,1,8014.72,0,5,1192,238.4,78.43978582326702,315,111,396,79.2,26.080644163823866,105,0.0,0.0,0.0,0.0,13,0,0.2,0.4,3,3,0,0.0,9,0.5555555555555556,217675.33,43535.066,93341.45892681519,210482.27,158.41,4517.58,903.516,4055.91,-213157.75,-42631.55,93861.21829504505,2011.92,-210482.27,22642.57,4,4528.514,847.08,1,22642.57,396,43535.07,21795.489999999998,0.0207537528483361,-0.979246247151664,0.10401991810463777,0.4,0.4,0.2,0.2,1,2,4,42214.309,4.7,1.4000000000000001,204.5818895002098,1.1987480438184663,0.0,1,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.6858974358974359,0.6846153846153846,0.6868327402135231,1.2246467991473532e-16,-1.0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.0,1.0
user_000008,9,4,0,0,1,15,54.0,0,114.24,142.29,28.05,1,69,23,0,0.0,0,12,2277,189.75,100.80685853290305,307,25,756,63.0,33.607358501592266,102,0.0,0.0,0.0,0.0,9,4,0.3333333333333333,0.0,4,3,2,0.16666666666666666,9,1.3333333333333333,442111.68,36842.64,73414.43695367577,252509.21,114.24,449593.36,37466.113333333335,290814.5,7481.680000000022,623.4733333333352,97765.9911139116,191657.41,-252509.21,49296.46,10,4108.038333333333,22573.829999999998,7,49296.46,756,17236.59,26722.63,1.0169226019995672,0.01692260199956722,0.11150227924310889,0.5833333333333334,0.4166666666666667,0.08333333333333333,0.25,0,3,5,6779.137342657343,19.262237762237763,6.426573426573427,1.7946802476573755,1.4912472647702406,0.0,1,1,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.6858974358974359,0.6655518394648829,0.6677740863787376,0.7071067811865476,-0.7071067811865475,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,-0.433883739117558,-0.9009688679024191
user_000009,23,4,0,0,0,2,39.0,0,119.14,0.0,-119.14,0,443,147,0,0.0,0,3,693,231.0,190.8192862370049,443,73,230,76.66666666666667,63.37454799312839,147,0.0,0.0,0.0,0.0,12,0,0.3333333333333333,0.0,2,2,1,0.3333333333333333,3,1.0,1888.65,629.5500000000001,774.2308067365959,1520.4,119.14,0.0,0.0,0.0,-1888.65,-629.5500000000001,774.2308067365959,-119.14,-1520.4,18526.88,2,6175.626666666667,0.0,0,18526.88,230,184.12,18526.88,0.0,-1.0,9.809588859767558,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,700.6300000000001,-185.0,-61.5,7.426179284874938,0.28216704288939054,0.0,1,1,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,0.7183098591549296,0.6862068965517242,0.6764705882352942,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0
user_000012,4,6,1,0,0,9,39.0,0,195.33,0.0,-195.33,0,51,17,1,4395.35,0,7,1107,158.14285714285714,70.66689128445883,255,51,367,52.42857142857143,23.529110642330867,85,0.0,0.0,0.0,0.0,0,6,0.5714285714285714,0.14285714285714285,4,3,2,0.2857142857142857,15,0.4666666666666667,458241.26,65463.037142857145,104092.26535068297,257682.39,195.33,867199.65,123885.66428571429,497349.21,408958.39,58422.62714285714,100302.79620061774,239666.82,-5738.18,65216.59,7,9316.655714285715,4208.94,2,65216.59,367,65463.04,61007.649999999994,1.892452133184166,0.8924521331841659,0.14231933196063576,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,2,3,26228.155714285716,5.2857142857142865,1.7142857142857142,46.9853209569261,1.3204488778054864,0.0,1,3,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.6527777777777778,0.705685618729097,0.7190635451505016,0.8660254037844386,0.5000000000000001,0.0,1.0,-0.7818314824680299,0.6234898018587334,-0.7818314824680299,0.6234898018587334
user_000013,21,1,0,0,1,9,47.0,0,190.01,0.0,-190.01,0,102,34,1,20060.2,0,9,1656,184.0,97.95151862018271,356,102,548,60.888888888888886,32.68961778777952,118,0.0,0.0,0.0,0.0,22,5,0.4444444444444444,0.2222222222222222,4,3,3,0.3333333333333333,6,1.5,575334.4,63926.044444444444,134856.8408225,415553.09,190.01,765889.4,85098.82222222222,481110.47,190555.00000000003,21172.77777777778,59355.79074820518,163817.07,-23717.09,86382.49,7,9598.054444444446,5500.04,2,86382.49,548,63926.04,80882.45000000001,1.3312073813072884,0.33120738130728844,0.15014309938706952,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.3333333333333333,0,2,4,-1680.3680000000004,-4.2,-1.4333333333333333,0.2752006040049669,0.98544474393531,0.0,1,4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,0.6,0.6655518394648829,0.6677740863787376,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,-0.9749279121818236,-0.2225209339563146
